                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99762,                0.78347,                 1.0519,                0.66964,                0.70703,                0.69201,                0.46152,                 1.1999,                 1.0086,                 1.0868,             0.00054904,             0.00054904,             0.00054904
                     35,                0.98421,                0.79158,                 1.0373,                0.73969,                0.74341,                0.69401,                0.47116,                 1.1414,                0.96369,                 1.0656,             0.00053779,             0.00053779,             0.00053779
                     36,                0.98737,                0.75713,                 1.0447,                0.72339,                0.69648,                0.69986,                0.45781,                 1.1871,                0.92714,                 1.1026,             0.00052654,             0.00052654,             0.00052654
                     37,                 1.0035,                0.74654,                 1.0362,                0.73499,                0.67379,                0.69758,                0.46874,                 1.2039,                0.90682,                 1.1102,             0.00051529,             0.00051529,             0.00051529
                     38,                0.96395,                0.73493,                 1.0439,                0.70063,                0.65178,                0.67924,                0.46464,                 1.1308,                0.91196,                 1.0902,             0.00050404,             0.00050404,             0.00050404
                     39,                0.98911,                0.72319,                 1.0404,                0.75775,                0.68986,                0.70603,                0.48498,                 1.1482,                0.91207,                 1.0939,             0.00049279,             0.00049279,             0.00049279
                     40,                0.97355,                 0.7038,                 1.0401,                0.72735,                 0.6671,                0.71303,                0.48382,                  1.137,                0.86829,                 1.0745,             0.00048154,             0.00048154,             0.00048154
                     41,                0.90729,                0.68691,                 1.0243,                  0.749,                0.71289,                0.73297,                0.47799,                 1.1693,                0.83786,                 1.0803,             0.00047029,             0.00047029,             0.00047029
                     42,                0.92777,                0.67331,                 1.0217,                0.69616,                0.64595,                 0.6914,                 0.4596,                 1.1746,                0.86183,                 1.1069,             0.00045904,             0.00045904,             0.00045904
                     43,                 0.9244,                0.66998,                 1.0212,                0.73449,                0.66416,                0.71509,                0.46641,                 1.1828,                0.87712,                 1.0955,              0.0004478,              0.0004478,              0.0004478
                     44,                0.91129,                0.65512,                 1.0055,                0.80884,                0.68543,                0.73675,                0.49026,                 1.1429,                0.86873,                 1.0822,             0.00043655,             0.00043655,             0.00043655
                     45,                 0.9042,                0.64937,                  1.002,                0.79361,                0.69563,                0.74742,                0.49384,                 1.1398,                0.82402,                 1.0744,              0.0004253,              0.0004253,              0.0004253
                     46,                0.90219,                0.65167,                 1.0134,                0.79311,                0.70073,                0.75523,                0.48534,                 1.1529,                0.83903,                 1.0906,             0.00041405,             0.00041405,             0.00041405
                     47,                0.90354,                0.66253,                 1.0036,                0.82807,                0.70824,                0.73696,                0.50066,                 1.1297,                0.83921,                 1.0801,              0.0004028,              0.0004028,              0.0004028
                     48,                0.89912,                0.63472,                0.99299,                0.69097,                0.66952,                0.71041,                0.47667,                 1.1391,                 0.8539,                 1.0808,             0.00039155,             0.00039155,             0.00039155
                     49,                0.87282,                0.65804,                 1.0127,                0.74348,                0.76434,                0.71611,                0.46193,                 1.1633,                0.88364,                 1.0886,              0.0003803,              0.0003803,              0.0003803
                     50,                0.90014,                0.64658,                 1.0053,                0.75376,                0.69003,                0.74833,                0.48514,                 1.1386,                0.88168,                 1.0771,             0.00036905,             0.00036905,             0.00036905
                     51,                  0.838,                0.60725,                 1.0031,                0.70502,                0.72803,                0.71059,                0.47093,                 1.1689,                0.84203,                 1.0988,             0.00035781,             0.00035781,             0.00035781
                     52,                0.87526,                0.60276,                 1.0096,                0.79879,                0.72828,                0.75846,                0.49487,                 1.1812,                0.83372,                 1.1175,             0.00034656,             0.00034656,             0.00034656
                     53,                0.82374,                0.58058,                0.98617,                0.73895,                0.71069,                0.72355,                0.47638,                 1.1526,                 0.8478,                 1.0804,             0.00033531,             0.00033531,             0.00033531
                     54,                0.85631,                0.60334,                 1.0066,                0.69862,                0.70241,                0.70938,                0.46078,                 1.1467,                0.86254,                  1.077,             0.00032406,             0.00032406,             0.00032406
                     55,                0.88777,                0.60982,                 1.0011,                0.82507,                0.65961,                0.73314,                0.48954,                 1.1458,                0.80549,                 1.0763,             0.00031281,             0.00031281,             0.00031281
                     56,                0.84036,                0.59701,                0.97743,                0.76073,                0.72296,                0.74785,                0.50038,                 1.1244,                0.79273,                 1.0841,             0.00030156,             0.00030156,             0.00030156
                     57,                0.80025,                0.57301,                0.96242,                0.72944,                0.71624,                0.72367,                0.50295,                 1.1374,                0.81248,                 1.0907,             0.00029031,             0.00029031,             0.00029031
                     58,                0.84366,                0.58476,                0.98683,                0.72215,                0.71535,                0.74579,                0.50326,                  1.147,                0.86237,                 1.0816,             0.00027906,             0.00027906,             0.00027906
                     59,                0.81926,                0.56879,                0.97343,                0.77176,                0.72125,                0.74275,                0.49254,                 1.1368,                0.81003,                  1.093,             0.00026781,             0.00026781,             0.00026781
                     60,                0.80166,                0.55808,                0.96808,                0.72724,                0.77188,                0.72818,                0.48604,                 1.1131,                0.80925,                 1.0753,             0.00025657,             0.00025657,             0.00025657
                     61,                0.75841,                 0.5417,                0.97006,                0.70955,                0.74584,                0.73208,                0.48333,                 1.1287,                0.79982,                 1.0974,             0.00024532,             0.00024532,             0.00024532
                     62,                 0.7774,                0.56835,                0.97224,                0.79049,                0.69815,                0.74717,                0.48151,                 1.1401,                0.86216,                 1.1016,             0.00023407,             0.00023407,             0.00023407
                     63,                 0.7511,                0.52633,                 0.9551,                0.79771,                0.69502,                0.73919,                0.47428,                 1.1329,                0.87021,                 1.0885,             0.00022282,             0.00022282,             0.00022282
                     64,                 0.7543,                0.53455,                0.94458,                0.72556,                0.74786,                0.72065,                0.47056,                 1.1744,                0.88625,                  1.122,             0.00021157,             0.00021157,             0.00021157
                     65,                0.77893,                0.57635,                0.95955,                0.71677,                0.72182,                0.73223,                0.47444,                 1.1633,                0.81859,                 1.1193,             0.00020032,             0.00020032,             0.00020032
                     66,                0.74895,                0.50723,                0.95757,                0.67698,                0.75619,                0.71355,                0.47375,                 1.1663,                 0.8413,                 1.1278,             0.00018907,             0.00018907,             0.00018907
                     67,                0.73767,                0.50025,                0.95417,                0.76362,                0.66895,                0.73611,                0.47257,                 1.1698,                0.83729,                 1.1301,             0.00017782,             0.00017782,             0.00017782
